구분,10월 09일 (월),,10월 10일 (화),10월 11일 (수),,10월 12일 (목),10월 13일 (금),10월 14일 (토),,10월 15일 (일)
"",한  식,,일품식,,한  식,일품식,한  식,한  식,,라면정식
요청,,,,,,,,,,
"",장터국밥,,오므라이스,쇠고기미역국,,모닝브레드*버터/딸기잼,대구맑은탕,돈육김치볶음,,만두라면
"",쌀밥,,맑은우동국,,쌀밥,야채스크램블에그,쌀밥,쌀밥,,추가밥
조식,미니메밀전병,,멘치까스*칠리S,매실청간장불고기,,고구마튀김,양파채너비아니,시래기된장국,,소떡소떡꼬치
후랑크야채볶음,,,배추김치,,숙주나물,시리얼,건파래볶음,온두부,,배추김치
"",구이김,,,산고추궁채절임,,우유,무말랭이무침,부추생채,,
"",깍두기,,,,배추김치,,배추김치,갓김치,,
Kcal,801,,838,,690,645,954,72,,1017
"",한  식,,한  식,뚝배기정식,,한  식,Fooditaurant,일품식,,한  식
"",,,,,,요청,,,요청,
뚝)햄치즈순두부찌개,,,두반장제육볶음,,,뚝)고기순대국,,새우튀김얹은 온모밀,,뚝)7분김치찌개
"",쌀밥,,쌀밥,,,쌀밥,,추가밥,,쌀밥
중식A 생선까스*와사비마요,,,달걀떡국,요청,,감자전,,사모사*칠리S,,계란당면부침
"",우엉채볶음,,양배추찜*쌈장,뚝배기날치알밥,,검은콩조림,,락교초생강,,부들어묵볶음
"",,,,,,,♥남산돈가스St 정식♥,,,
"",양념깻잎지,,미역줄기볶음,,우동국물,양파절임,,,,마늘쫑무침
"",,,,,,,순살돈까스,,,
"",배추김치,,배추김치,아쿠아치킨까스,,깍두기,검정깨밥,,,깍두기
Kcal,738,,936,오복지락교무침,,1198,크림스프,1052,,753
"",,,,,,,베이키드빈스,,,
"",,,일품식,자스민레몬차,,일품식,마카로니범벅,,,
"",,요청,,,,,,,,
"",,,K-알리오올리오,,,베이컨야채볶음밥,오이고추*쌈장,,,
"",,,,,,,양배추샐러드,,,
"",,,크림스프,,,쑥갓어묵국,,,,
"",,,,,,,깍두기,,,
중식B,,,피자빵,,,새우깡떡볶이,,,,
"",,,수제피클,,,배추김치,,,,
Kcal,,,1019,,670,805,803,,,
"",일품식,,일품식,,한  식,일품식,한  식,일품식,,일품식
"",,요청,,,,,,,,
"",게살카레덮밥,,야채튀김우동,고등어김치찜,,부대덮밥,우거지청국장찌개,돼지고기짜장덮밥,,참치데리마요덮밥
"",맑은우동국,,추가밥,,쌀밥,유부된장국,쌀밥,달걀파국,,팽이된장국
석식 치킨너겟*강정S,,,오징어까스,열무된장국,,칼슘콩도넛,산적피망조림,후르츠치킨탕수육,,미니핫도그
"",오복지,,배추김치,,떡맛탕,가지절임,양장피맛살냉채,단무지무침,,배추김치
"",요구르트,,,막국수야채무침,,,야채겉절이,,,
"",,,,,깍두기,,갓김치,,,
Kcal,915,,1202,,725,897,775,905,,650
"",,,치킨텐더샐러드,호밀빵샌드위치,,단호박에그샐러드,선식*두유,,,
간편식,,,,,,,,,,
"",,,제리뽀,,두유,초코우유,크루통스프,,,
Kcal,,,434,,450,307,420,,,
* 상기메뉴는 식자재 수급에 따라 변경 될 수 있습니다.,,,,,,조식 : 07:30 ~ 09:00,,,,
"",,,,,,중식 : 11:30 ~ 13:30,,,,
* 원산지 표시는 일일메뉴에 게시합니다.,,,,,,석식 : 17:30 ~ 19:30,,,,
